gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	AC-like	MES-like	NPC-like	OPC-like	macrophage	microglial_cell
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS0DFEE920D	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS05FC0F405	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS01757E3CC	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS000EEBB11	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS05DE238C6	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS0F9D91F7C	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS03B3709D5	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD9_LRP6	CPI-CS0A54AB810	0.0	0.0	0.055	0.002	0.002	0.003
LRP6	O75581	True	LRP6_HUMAN	Kremen1_LRP6	CPI-CS0F6E83D4B	0.036	0.048	0.044	0.036	0.009	0.008
LRP6	O75581	True	LRP6_HUMAN	Kremen2_LRP6	CPI-CS0D1C23747	0.007	0.002	0.008	0.004	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	Kremen2_LRP6	CPI-CS0730C30B0	0.007	0.002	0.008	0.004	0.0	0.0
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0481C1F9A	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS07545410E	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS041DB789A	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0CD56A2CC	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS093B9AF93	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0A8032B7C	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS044C72075	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS08A2C42C8	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS07135653F	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0054A1D8F	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0E97FB627	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP5	CPI-CS0711601F5	0.068	0.037	0.018	0.059	0.005	0.002
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0F29C6285	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS01D8707DF	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0113A05E1	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0C050DC99	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS05CFD8AFA	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS04F856260	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS064EF7C8D	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0CF3656D2	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0BCEC27D8	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS034FCACC9	0.068	0.072	0.018	0.059	0.015	0.019
FZD1	Q9UP38	True	FZD1_HUMAN	FZD1_LRP6	CPI-CS0009D06D0	0.068	0.072	0.018	0.059	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0372FC240	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0DF112C1C	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS00529A443	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS09C6CE302	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0B5273C72	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0483ECD06	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0E502BB1F	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0639A2C96	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS057093E9E	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0E68F5752	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS0798E7707	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP5	CPI-CS08BFBF46D	0.032	0.011	0.013	0.019	0.005	0.002
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS031A2034E	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0FCBFAE02	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS09FB07CB1	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS09572EF0C	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0DB31673B	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0E9D2EC7B	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS01E56069F	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0AF09AF14	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0B92EA5EA	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS0F53060BB	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS01E9D00D4	0.032	0.011	0.013	0.019	0.015	0.019
FZD2	Q14332	True	FZD2_HUMAN	FZD2_LRP6	CPI-CS06AA33194	0.032	0.011	0.013	0.019	0.015	0.019
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS02643715E	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0DCC20D87	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS03025232D	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0E6007E1E	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0A94347F7	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0A7409D74	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0CBE51948	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS012C395FB	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0D38CFA9D	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0B52EC069	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS0CDD4E649	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP5	CPI-CS056A2EEC7	0.068	0.037	0.078	0.081	0.005	0.002
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS00F8E8AC0	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS090834433	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS0F06108D6	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS0BF2D6216	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS081ABF0EB	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS096783D6D	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS067ECB5FE	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS039773901	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS096856900	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS0EA080D52	0.14	0.084	0.273	0.234	0.015	0.009
FZD3	Q9NPG1	True	FZD3_HUMAN	FZD3_LRP6	CPI-CS0035C50D6	0.14	0.084	0.273	0.234	0.015	0.009
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS03D573715	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0B0D7EFFD	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS03524A330	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS08FF72B3A	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0864EE3DE	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS00EE75FE1	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS070C94FC9	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0A3B15C33	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0AF87C2AB	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS03BC3B437	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0E63C18DF	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS02127BCCA	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP5	CPI-CS0EFD8682E	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS055AB879D	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS06CF549E0	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS01BA77CE7	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0349DDD33	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0F73F8631	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS05EBA46D7	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0149222E6	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0B3531507	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS096FD79C8	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0AF64B48C	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0B6EFDA1A	0.009	0.005	0.011	0.012	0.005	0.0
FZD4	Q9ULV1	True	FZD4_HUMAN	FZD4_LRP6	CPI-CS0EBC9A333	0.009	0.005	0.011	0.012	0.005	0.0
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS08A2EA5F7	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS026456D1C	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS05FB0A7F1	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS02B318AF4	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS035E6950E	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS0CD3AB1EE	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS05A78F361	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS0306D4D86	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS0722E870D	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS07AD29D6C	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS0E193F054	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS00AE5010A	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP5	CPI-CS08BD41C01	0.049	0.037	0.027	0.077	0.005	0.002
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0AC9A92AD	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS016BAF864	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS00DEA8C12	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0444041A5	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0FF5F9AAF	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS092A988FB	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0C2B25B68	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0854644B2	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS05C76711D	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0CC6D5AFF	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS01E2B7EF5	0.049	0.046	0.027	0.077	0.015	0.017
FZD5	Q13467	True	FZD5_HUMAN	FZD5_LRP6	CPI-CS0CCD8150B	0.049	0.046	0.027	0.077	0.015	0.017
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS04C0033E6	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0890B81F6	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS008DA70F3	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS044358A94	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0C4B40F75	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0C93912BC	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS01903DA09	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0EFD1729B	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0F96B32B8	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0FB43E17E	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS0252398E9	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP5	CPI-CS01377664E	0.041	0.031	0.078	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS062754C53	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS0382E5A36	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS01521EE2B	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS0A2518705	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS07A47FD47	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS0E9155EA2	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS0A5EAECEB	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS01C37C086	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS09F32EE7D	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS0A16E48B6	0.041	0.031	0.089	0.033	0.004	0.001
FZD6	O60353	True	FZD6_HUMAN	FZD6_LRP6	CPI-CS035AE34D1	0.041	0.031	0.089	0.033	0.004	0.001
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS0507A53BC	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS04EF7616F	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS00D2EE99D	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS0F8EF2F56	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS08F2F1471	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS01C2D7CF3	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS0ADD1BA62	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS035CDF184	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS011A5A5AB	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS0CA549059	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS066C7EA9C	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS069C5C656	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP5	CPI-CS0B03558D5	0.068	0.037	0.018	0.049	0.005	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS04B8C1A44	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0613E3AB7	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS04EF3E555	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS086CDC104	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0D35A8B40	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS05835BB8A	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS03C03A2E0	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0BDB8F8B9	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0542286CC	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0A13F16D1	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0003E8838	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS037DFC929	0.14	0.084	0.018	0.049	0.006	0.002
FZD7	O75084	True	FZD7_HUMAN	FZD7_LRP6	CPI-CS0754A8484	0.14	0.084	0.018	0.049	0.006	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS0FE6AA4D0	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS0782E09E8	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS008F67A0E	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS0F1D971DE	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS0244B7A6E	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS09B942EAA	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS075091014	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS02E7B3383	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS01A382EA4	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS0B512D5C5	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS0702C5FFF	0.0	0.0	0.055	0.002	0.002	0.002
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP5	CPI-CS072025B4D	0.0	0.0	0.055	0.002	0.002	0.002
