id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	AC-like|AC-like	AC-like|MES-like	AC-like|NPC-like	AC-like|OPC-like	AC-like|macrophage	AC-like|microglial_cell	MES-like|AC-like	MES-like|MES-like	MES-like|NPC-like	MES-like|OPC-like	MES-like|macrophage	MES-like|microglial_cell	NPC-like|AC-like	NPC-like|MES-like	NPC-like|NPC-like	NPC-like|OPC-like	NPC-like|macrophage	NPC-like|microglial_cell	OPC-like|AC-like	OPC-like|MES-like	OPC-like|NPC-like	OPC-like|OPC-like	OPC-like|macrophage	OPC-like|microglial_cell	macrophage|AC-like	macrophage|MES-like	macrophage|NPC-like	macrophage|OPC-like	macrophage|macrophage	macrophage|microglial_cell	microglial_cell|AC-like	microglial_cell|MES-like	microglial_cell|NPC-like	microglial_cell|OPC-like	microglial_cell|macrophage	microglial_cell|microglial_cell
CPI-SS003C9A532	NOTCH2_DLL3	simple:Q04721	simple:Q9NYJ7	ENSG00000134250	ENSG00000090932	False	True	False	curated	False	0.186	0.116	0.542	0.495	0.111	0.103	0.164	0.094	0.52	0.473	0.089	0.081	0.139	0.07	0.495	0.448	0.064	0.057	0.166	0.097	0.522	0.475	0.091	0.084	0.14	0.071	0.496	0.449	0.065	0.058	0.122	0.052	0.478	0.431	0.047	0.039
CPI-SS09D379E5B	NOTCH4_DLL3	simple:Q99466	simple:Q9NYJ7	ENSG00000204301	ENSG00000090932	False	True	False	curated	False	0.131	0.062	0.487	0.44	0.056	0.049	0.111	0.042	0.467	0.42	0.036	0.029	0.138	0.069	0.494	0.447	0.063	0.056	0.128	0.058	0.484	0.437	0.053	0.045	0.098	0.029	0.454	0.407	0.023	0.016	0.099	0.03	0.455	0.408	0.024	0.016
CPI-SS08C3D27F7	NOTCH1_JAG2	simple:P46531	simple:Q9Y219	ENSG00000148400	ENSG00000184916	False	True	False	curated	False	0.093	0.094	0.094	0.094	0.096	0.1	0.058	0.059	0.059	0.06	0.061	0.066	0.108	0.11	0.11	0.11	0.112	0.116	0.157	0.159	0.159	0.159	0.161	0.165	0.033	0.034	0.034	0.034	0.036	0.04	0.032	0.033	0.033	0.033	0.035	0.039
CPI-SS02770D68F	NOTCH2_JAG2	simple:Q04721	simple:Q9Y219	ENSG00000134250	ENSG00000184916	False	True	False	curated	False	0.099	0.1	0.101	0.101	0.103	0.107	0.077	0.078	0.079	0.079	0.081	0.085	0.053	0.054	0.054	0.054	0.056	0.06	0.08	0.081	0.082	0.082	0.083	0.088	0.054	0.055	0.055	0.055	0.057	0.061	0.035	0.036	0.037	0.037	0.039	0.043
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000204301	ENSG00000184916	False	True	False	curated	False	0.045	0.046	0.046	0.046	0.048	0.052	0.025	0.026	0.027	0.027	0.028	0.033	0.052	0.053	0.053	0.053	0.055	0.059	0.041	0.043	0.043	0.043	0.045	0.049	0.012	0.013	0.013	0.014	0.015	0.02	0.012	0.014	0.014	0.014	0.016	0.02
CPI-SS0C4D54E39	NOTCH3_JAG2	simple:Q9UM47	simple:Q9Y219	ENSG00000074181	ENSG00000184916	False	True	False	curated	False	0.049	0.05	0.051	0.051	0.053	0.057	0.06	0.061	0.061	0.061	0.063	0.067	0.015	0.016	0.016	0.016	0.018	0.022	0.039	0.04	0.04	0.04	0.042	0.046	0.012	0.013	0.014	0.014	0.016	0.02	0.002	0.003	0.004	0.004	0.006	0.01
CPI-CS0F6E83D4B	Kremen1_LRP6_DKK1	complex:Kremen1_LRP6	simple:O94907		ENSG00000107984	True	False	False	curated	False	0.019	0.025	0.018	0.02	0.019	0.018	0.025	0.032	0.025	0.026	0.025	0.024	0.023	0.03	0.023	0.024	0.023	0.023	0.019	0.026	0.018	0.02	0.019	0.018	0.006	0.012	0.005	0.006	0.006	0.005	0.005	0.012	0.004	0.006	0.005	0.004
CPI-CS0D1C23747	Kremen2_LRP6_DKK1	complex:Kremen2_LRP6	simple:O94907		ENSG00000107984	True	False	False	curated	False	0.005	0.011	0.004	0.005	0.004	0.004	0.002	0.009	0.001	0.003	0.002	0.001	0.005	0.012	0.004	0.006	0.005	0.004	0.003	0.01	0.003	0.004	0.003	0.003	0.001	0.008	0.0	0.002	0.001	0.0	0.001	0.008	0.0	0.002	0.001	0.0
CPI-SS02075E033	LRP5_DKK1	simple:O75197	simple:O94907	ENSG00000162337	ENSG00000107984	True	True	False	curated	False	0.035	0.042	0.035	0.036	0.035	0.035	0.02	0.026	0.019	0.02	0.02	0.019	0.04	0.047	0.039	0.041	0.04	0.039	0.042	0.048	0.041	0.042	0.041	0.041	0.004	0.01	0.003	0.004	0.004	0.003	0.002	0.009	0.001	0.003	0.002	0.001
CPI-SS0D68CB038	LRP6_DKK1	simple:O75581	simple:O94907	ENSG00000070018	ENSG00000107984	True	True	False	curated	False	0.071	0.078	0.071	0.072	0.071	0.071	0.043	0.05	0.043	0.044	0.043	0.042	0.138	0.144	0.137	0.138	0.138	0.137	0.118	0.125	0.118	0.119	0.118	0.117	0.009	0.015	0.008	0.009	0.008	0.008	0.011	0.017	0.01	0.011	0.011	0.01
CPI-SS05E001125	LGR5_RSPO4	simple:O75473	simple:Q2I0M5	ENSG00000139292	ENSG00000101282	True	True	False	curated	False	0.004	0.003	0.003	0.003	0.003	0.003	0.001	0.001	0.001	0.001	0.0	0.0	0.016	0.016	0.016	0.016	0.016	0.016	0.008	0.007	0.007	0.008	0.007	0.007	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0	0.001	0.0	0.0
CPI-SS0FC0CA5ED	LGR5_RSPO2	simple:O75473	simple:Q6UXX9	ENSG00000139292	ENSG00000147655	True	True	False	curated	False	0.003	0.005	0.003	0.003	0.003	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.016	0.018	0.016	0.016	0.016	0.0	0.007	0.009	0.007	0.007	0.007	0.0	0.001	0.003	0.001	0.001	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.0
CPI-SS09C52F54E	LGALS9_SORL1	simple:O00182	simple:Q92673	ENSG00000168961	ENSG00000137642	True	False	True	InnateDB-All	False	0.104	0.084	0.072	0.097	0.339	0.457	0.103	0.083	0.071	0.096	0.338	0.456	0.105	0.085	0.073	0.098	0.34	0.458	0.114	0.094	0.082	0.107	0.349	0.467	0.516	0.496	0.484	0.509	0.751	0.869	0.594	0.574	0.562	0.587	0.829	0.947
CPI-SS07ACDDCD6	APP_SORL1	simple:P05067	simple:Q92673	ENSG00000142192	ENSG00000137642	True	False	True	curated	False	0.789	0.769	0.756	0.782	1.023	1.141	0.719	0.699	0.686	0.712	0.953	1.072	0.658	0.638	0.626	0.651	0.893	1.011	0.687	0.667	0.654	0.68	0.921	1.04	0.248	0.228	0.215	0.241	0.483	0.601	0.173	0.153	0.14	0.166	0.408	0.526
CPI-SS083CBFACD	MDK_SORL1	simple:P21741	simple:Q92673	ENSG00000110492	ENSG00000137642	True	False	True	InnateDB-All	False	0.706	0.686	0.674	0.699	0.941	1.059	0.688	0.668	0.656	0.681	0.923	1.041	0.544	0.525	0.512	0.537	0.779	0.897	0.738	0.718	0.705	0.731	0.972	1.091	0.153	0.133	0.12	0.146	0.387	0.506	0.128	0.108	0.095	0.121	0.362	0.481
CPI-SS002DF6C31	LGALS9_SLC1A5	simple:O00182	simple:Q15758	ENSG00000168961	ENSG00000105281	True	False	True	I2D,InnateDB-All	False	0.034	0.059	0.041	0.043	0.116	0.122	0.033	0.058	0.04	0.042	0.116	0.121	0.036	0.061	0.042	0.044	0.118	0.123	0.044	0.069	0.051	0.053	0.126	0.132	0.447	0.471	0.453	0.455	0.529	0.534	0.524	0.549	0.531	0.533	0.607	0.612
CPI-SS0CE693E3E	LGALS9_P4HB	simple:O00182	simple:P07237	ENSG00000168961	ENSG00000185624	True	False	False	curated	False	0.517	0.63	0.396	0.465	0.425	0.344	0.516	0.629	0.395	0.464	0.424	0.343	0.519	0.631	0.397	0.466	0.426	0.346	0.527	0.64	0.406	0.475	0.435	0.354	0.93	1.042	0.808	0.877	0.837	0.757	1.007	1.12	0.886	0.955	0.915	0.834
CPI-SS0BC7CD11B	LGALS9_MET	simple:O00182	simple:P08581	ENSG00000168961	ENSG00000105976	True	False	True	InnateDB-All	False	0.017	0.045	0.016	0.023	0.012	0.011	0.016	0.044	0.015	0.022	0.011	0.01	0.018	0.047	0.017	0.024	0.013	0.012	0.027	0.055	0.026	0.033	0.022	0.021	0.429	0.458	0.428	0.435	0.424	0.423	0.507	0.535	0.506	0.513	0.502	0.501
CPI-SS0419B80C4	LGALS9_LRP1	simple:O00182	simple:Q07954	ENSG00000168961	ENSG00000123384	True	False	True	InnateDB-All	False	0.355	0.298	0.232	0.28	0.24	0.213	0.354	0.297	0.231	0.279	0.239	0.212	0.356	0.299	0.233	0.281	0.241	0.215	0.365	0.308	0.242	0.29	0.25	0.223	0.767	0.71	0.644	0.692	0.652	0.626	0.845	0.788	0.722	0.77	0.73	0.703
CPI-SS02928C71A	PDGFB_LRP1	simple:P01127	simple:Q07954	ENSG00000100311	ENSG00000123384	True	False	True	I2D,InnateDB-All	False	0.346	0.289	0.223	0.271	0.231	0.204	0.347	0.29	0.224	0.272	0.232	0.205	0.346	0.289	0.223	0.271	0.231	0.205	0.35	0.293	0.226	0.274	0.234	0.208	0.416	0.359	0.293	0.341	0.301	0.275	0.443	0.386	0.32	0.368	0.328	0.301
CPI-SS006C6537E	MDK_LRP1	simple:P21741	simple:Q07954	ENSG00000110492	ENSG00000123384	True	False	True	I2D,InnateDB-All	False	0.957	0.9	0.834	0.882	0.842	0.816	0.939	0.882	0.816	0.864	0.824	0.798	0.795	0.738	0.672	0.72	0.68	0.654	0.989	0.932	0.865	0.913	0.873	0.847	0.404	0.347	0.28	0.328	0.288	0.262	0.379	0.322	0.255	0.303	0.263	0.237
CPI-SS014958F32	LGALS9_CD47	simple:O00182	simple:Q08722	ENSG00000168961	ENSG00000196776	True	False	True	InnateDB-All	False	0.263	0.279	0.227	0.272	0.223	0.177	0.262	0.278	0.226	0.271	0.222	0.176	0.265	0.28	0.228	0.274	0.225	0.178	0.273	0.289	0.237	0.282	0.233	0.187	0.676	0.691	0.639	0.685	0.636	0.589	0.754	0.769	0.717	0.762	0.713	0.667
CPI-SS0339AE950	SIRPA_CD47	simple:P78324	simple:Q08722	ENSG00000198053	ENSG00000196776	False	True	True	curated	False	0.359	0.375	0.322	0.368	0.319	0.273	0.329	0.345	0.293	0.338	0.289	0.243	0.284	0.299	0.247	0.293	0.244	0.197	0.316	0.332	0.28	0.325	0.276	0.23	0.482	0.498	0.446	0.491	0.442	0.396	0.465	0.48	0.428	0.474	0.425	0.378
CPI-SS0BD9F32BA	LGALS9_DAG1	simple:O00182	simple:Q14118	ENSG00000168961	ENSG00000173402	True	False	True	InnateDB-All	False	0.201	0.127	0.111	0.166	0.023	0.021	0.2	0.126	0.111	0.165	0.022	0.02	0.203	0.128	0.113	0.167	0.024	0.022	0.211	0.137	0.121	0.176	0.033	0.031	0.614	0.539	0.524	0.578	0.435	0.433	0.691	0.617	0.602	0.656	0.513	0.511
CPI-SS0A9FB762A	LGALS9_PTPRK	simple:O00182	simple:Q15262	ENSG00000168961	ENSG00000152894	True	False	True	InnateDB-All	False	0.043	0.044	0.084	0.053	0.017	0.012	0.042	0.043	0.083	0.052	0.017	0.011	0.044	0.045	0.085	0.055	0.019	0.013	0.053	0.054	0.094	0.063	0.027	0.022	0.455	0.456	0.496	0.465	0.43	0.424	0.533	0.534	0.574	0.543	0.508	0.502
CPI-SS0472C478C	BMP7_PTPRK	simple:P18075	simple:Q15262	ENSG00000101144	ENSG00000152894	True	False	True	InnateDB-All	False	0.225	0.225	0.265	0.235	0.199	0.194	0.116	0.116	0.157	0.126	0.09	0.085	0.221	0.221	0.261	0.231	0.195	0.189	0.242	0.242	0.282	0.252	0.216	0.211	0.038	0.039	0.079	0.048	0.013	0.007	0.036	0.036	0.076	0.046	0.01	0.004
CPI-SS0CB863B46	WNT5A_PTPRK	simple:P41221	simple:Q15262	ENSG00000114251	ENSG00000152894	True	False	True	InnateDB-All	False	0.052	0.053	0.093	0.062	0.027	0.021	0.047	0.048	0.088	0.057	0.022	0.016	0.048	0.049	0.089	0.058	0.023	0.017	0.068	0.069	0.109	0.078	0.043	0.037	0.111	0.112	0.152	0.121	0.085	0.08	0.126	0.126	0.166	0.136	0.1	0.094
CPI-SS08877A081	LGALS9_COLEC12	simple:O00182	simple:Q5KU26	ENSG00000168961	ENSG00000158270	True	False	True	InnateDB-All	False	0.032	0.036	0.017	0.031	0.046	0.023	0.031	0.035	0.016	0.03	0.045	0.022	0.034	0.037	0.018	0.032	0.047	0.024	0.042	0.046	0.027	0.041	0.056	0.033	0.445	0.448	0.429	0.443	0.458	0.435	0.522	0.526	0.507	0.521	0.536	0.513
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	ENSG00000168961	ENSG00000135077	True	False	True	curated	False	0.021	0.019	0.017	0.049	0.426	0.547	0.02	0.018	0.016	0.048	0.425	0.546	0.022	0.021	0.019	0.05	0.428	0.548	0.031	0.029	0.027	0.059	0.436	0.557	0.433	0.432	0.43	0.461	0.839	0.959	0.511	0.509	0.507	0.539	0.916	1.037
CPI-CS0706E3D9E	GALR1_GALP	complex:GALR1	simple:Q9UBC7		ENSG00000197487	True	True	False	curated	False	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS015084945	GALR2_GALP	complex:GALR2	simple:Q9UBC7		ENSG00000197487	True	True	False	curated	False	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS07EFD6AA8	GALR3_GALP	complex:GALR3	simple:Q9UBC7		ENSG00000197487	True	True	False	curated	False	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0253C9C61	GALR2_SPX	complex:GALR2	simple:Q9BT56		ENSG00000134548	True	True	False	curated	False	0.005	0.002	0.001	0.003	0.001	0.001	0.005	0.002	0.001	0.003	0.001	0.001	0.005	0.002	0.001	0.003	0.001	0.001	0.005	0.002	0.001	0.002	0.001	0.001	0.005	0.002	0.001	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS02C8078A6	GALR3_SPX	complex:GALR3	simple:Q9BT56		ENSG00000134548	True	True	False	curated	False	0.005	0.002	0.001	0.003	0.001	0.001	0.005	0.002	0.001	0.002	0.001	0.001	0.005	0.002	0.001	0.003	0.001	0.001	0.005	0.002	0.001	0.003	0.001	0.001	0.005	0.002	0.001	0.002	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	ENSG00000162706	ENSG00000182985	False	False	False	curated	False	0.281	0.271	0.229	0.3	0.217	0.121	0.282	0.273	0.23	0.302	0.219	0.123	0.313	0.304	0.261	0.333	0.25	0.154	0.294	0.284	0.242	0.313	0.23	0.134	0.244	0.235	0.192	0.263	0.181	0.085	0.243	0.233	0.191	0.262	0.179	0.084
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	ENSG00000182985	ENSG00000182985	False	False	False	curated	False	0.484	0.474	0.432	0.503	0.42	0.324	0.474	0.465	0.422	0.493	0.411	0.315	0.432	0.422	0.38	0.451	0.368	0.272	0.503	0.493	0.451	0.522	0.439	0.344	0.42	0.411	0.368	0.439	0.357	0.261	0.324	0.315	0.272	0.344	0.261	0.165
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	ENSG00000109943	ENSG00000182985	False	False	False	curated	False	0.243	0.234	0.191	0.262	0.18	0.084	0.242	0.233	0.19	0.262	0.179	0.083	0.25	0.24	0.198	0.269	0.186	0.091	0.247	0.237	0.195	0.266	0.183	0.087	0.265	0.255	0.213	0.284	0.201	0.105	0.248	0.239	0.196	0.268	0.185	0.089
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	ENSG00000162706	ENSG00000105767	False	False	False	curated	False	0.285	0.156	0.274	0.332	0.057	0.043	0.287	0.158	0.275	0.334	0.058	0.045	0.318	0.189	0.306	0.365	0.089	0.076	0.298	0.169	0.286	0.345	0.069	0.056	0.249	0.119	0.237	0.296	0.02	0.007	0.247	0.118	0.236	0.295	0.019	0.006
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	ENSG00000162706	ENSG00000088367	False	False	False	curated	False	0.092	0.068	0.085	0.09	0.05	0.041	0.093	0.069	0.087	0.092	0.052	0.043	0.124	0.1	0.118	0.123	0.083	0.074	0.105	0.081	0.098	0.103	0.063	0.054	0.055	0.031	0.049	0.054	0.014	0.004	0.054	0.03	0.048	0.052	0.013	0.003
CPI-SS00661A3A4	NECTIN1_CADM3	simple:Q15223	simple:Q8N126	ENSG00000110400	ENSG00000162706	True	True	False	curated	False	0.06	0.061	0.092	0.073	0.023	0.022	0.054	0.056	0.087	0.067	0.017	0.016	0.091	0.092	0.123	0.103	0.054	0.053	0.077	0.078	0.109	0.089	0.04	0.039	0.044	0.045	0.076	0.056	0.007	0.006	0.041	0.042	0.073	0.054	0.004	0.003
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	ENSG00000110400	ENSG00000143217	True	True	True	curated	False	0.021	0.022	0.022	0.022	0.023	0.021	0.015	0.016	0.016	0.016	0.017	0.016	0.052	0.052	0.053	0.053	0.054	0.052	0.038	0.038	0.039	0.039	0.04	0.038	0.005	0.005	0.006	0.006	0.007	0.005	0.002	0.003	0.003	0.003	0.004	0.002
CPI-SS0A5DF05C0	TIGIT_NECTIN2	simple:Q495A1	simple:Q92692	ENSG00000181847	ENSG00000130202	False	False	True	curated	False	0.104	0.11	0.06	0.064	0.143	0.103	0.104	0.109	0.059	0.064	0.143	0.103	0.104	0.109	0.059	0.064	0.143	0.102	0.106	0.111	0.061	0.066	0.144	0.104	0.108	0.114	0.064	0.068	0.147	0.107	0.105	0.11	0.06	0.065	0.144	0.104
CPI-SS06207F70E	CD226_NECTIN2	simple:Q15762	simple:Q92692	ENSG00000150637	ENSG00000130202	False	True	True	curated	False	0.106	0.111	0.061	0.066	0.145	0.104	0.105	0.111	0.061	0.065	0.144	0.104	0.105	0.11	0.06	0.065	0.144	0.103	0.11	0.115	0.066	0.07	0.149	0.109	0.133	0.138	0.088	0.093	0.172	0.131	0.143	0.148	0.098	0.103	0.182	0.141
CPI-SC07863BB7C	DRD2_SerotoninDopamin_byDDC	simple:P14416	complex:SerotoninDopamin_byDDC	ENSG00000149295		True	True	False	curated	False	0.006	0.007	0.008	0.007	0.006	0.0	0.004	0.004	0.005	0.004	0.004	0.0	0.005	0.006	0.006	0.005	0.005	0.0	0.002	0.002	0.003	0.002	0.002	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CPI-SC0162A6735	DRD4_SerotoninDopamin_byDDC	simple:P21917	complex:SerotoninDopamin_byDDC	ENSG00000069696		True	True	False	curated	False	0.007	0.007	0.008	0.007	0.007	0.0	0.004	0.004	0.005	0.004	0.004	0.0	0.003	0.003	0.004	0.003	0.002	0.0	0.003	0.003	0.004	0.003	0.002	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.001	0.001	0.002	0.001	0.001	0.0
CPI-SC0463F13C5	HTR1D_SerotoninDopamin_byDDC	simple:P28221	complex:SerotoninDopamin_byDDC	ENSG00000179546		True	True	False	curated	False	0.001	0.001	0.002	0.001	0.0	0.0	0.001	0.001	0.002	0.001	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC02040C23F	HTR2A_SerotoninDopamin_byDDC	simple:P28223	complex:SerotoninDopamin_byDDC	ENSG00000102468		True	True	False	curated	False	0.003	0.003	0.004	0.003	0.003	0.0	0.001	0.001	0.002	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CPI-SC083C897C9	HTR1F_SerotoninDopamin_byDDC	simple:P30939	complex:SerotoninDopamin_byDDC	ENSG00000179097		True	True	False	curated	False	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
CPI-SC09512F4D8	HTR7_SerotoninDopamin_byDDC	simple:P34969	complex:SerotoninDopamin_byDDC	ENSG00000148680		True	True	False	curated	False	0.0	0.001	0.002	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.001	0.002	0.002	0.001	0.001	0.0	0.007	0.008	0.008	0.007	0.007	0.0	0.004	0.004	0.005	0.004	0.004	0.0
CPI-SC081518F41	HTR2B_SerotoninDopamin_byDDC	simple:P41595	complex:SerotoninDopamin_byDDC	ENSG00000135914		True	True	False	curated	False	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.002	0.001	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.001	0.001	0.002	0.001	0.0	0.0	0.006	0.006	0.007	0.006	0.006	0.0	0.005	0.005	0.006	0.005	0.005	0.0
CPI-SC043575EF7	HTR5A_SerotoninDopamin_byDDC	simple:P47898	complex:SerotoninDopamin_byDDC	ENSG00000157219		True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC08FDE0757	HTR4_SerotoninDopamin_byDDC	simple:Q13639	complex:SerotoninDopamin_byDDC	ENSG00000164270		True	True	False	curated	False	0.0	0.001	0.002	0.001	0.0	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0
CPI-SC0E03C13D1	COL6A6_integrin_a10b1_complex	simple:A6NMZ7	complex:integrin_a10b1_complex	ENSG00000206384		True	False	False	curated	True	0.017	0.01	0.02	0.01	0.002	0.001	0.017	0.01	0.02	0.01	0.002	0.001	0.017	0.01	0.02	0.01	0.002	0.001	0.017	0.01	0.02	0.01	0.002	0.001	0.017	0.01	0.02	0.01	0.002	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC028882919	COL1A1_integrin_a10b1_complex	simple:P02452	complex:integrin_a10b1_complex	ENSG00000108821		True	False	False	curated	True	0.025	0.018	0.028	0.018	0.011	0.009	0.037	0.03	0.039	0.03	0.022	0.021	0.019	0.012	0.022	0.012	0.004	0.003	0.049	0.041	0.051	0.042	0.034	0.033	0.046	0.039	0.049	0.039	0.031	0.03	0.018	0.011	0.021	0.011	0.003	0.002
CPI-SC0AA90A03B	COL2A1_integrin_a10b1_complex	simple:P02458	complex:integrin_a10b1_complex	ENSG00000139219		True	False	False	curated	True	0.02	0.013	0.022	0.013	0.005	0.004	0.017	0.01	0.02	0.011	0.003	0.001	0.02	0.013	0.023	0.013	0.005	0.004	0.02	0.013	0.023	0.014	0.006	0.004	0.017	0.01	0.02	0.01	0.002	0.001	0.017	0.01	0.02	0.01	0.002	0.001
CPI-SC0A7864078	COL3A1_integrin_a10b1_complex	simple:P02461	complex:integrin_a10b1_complex	ENSG00000168542		True	False	False	curated	True	0.024	0.017	0.027	0.017	0.009	0.008	0.021	0.014	0.023	0.014	0.006	0.005	0.017	0.01	0.02	0.01	0.003	0.001	0.055	0.048	0.057	0.048	0.04	0.039	0.055	0.048	0.058	0.048	0.04	0.039	0.018	0.011	0.02	0.011	0.003	0.002
CPI-SC0756B421F	COL4A1_integrin_a10b1_complex	simple:P02462	complex:integrin_a10b1_complex	ENSG00000187498		True	False	False	curated	True	0.143	0.136	0.146	0.137	0.129	0.127	0.11	0.103	0.113	0.103	0.095	0.094	0.061	0.053	0.063	0.054	0.046	0.045	0.106	0.099	0.109	0.1	0.092	0.09	0.061	0.054	0.064	0.055	0.047	0.045	0.019	0.012	0.022	0.012	0.004	0.003
CPI-SC0C91660AB	FN1_integrin_a10b1_complex	simple:P02751	complex:integrin_a10b1_complex	ENSG00000115414		True	False	False	curated	True	0.113	0.106	0.116	0.106	0.098	0.097	0.264	0.257	0.267	0.258	0.25	0.248	0.044	0.037	0.047	0.038	0.03	0.028	0.129	0.122	0.132	0.122	0.114	0.113	0.25	0.243	0.252	0.243	0.235	0.234	0.053	0.046	0.055	0.046	0.038	0.037
CPI-SC0CED85DDE	COL5A2_integrin_a10b1_complex	simple:P05997	complex:integrin_a10b1_complex	ENSG00000204262		True	False	False	curated	True	0.15	0.143	0.152	0.143	0.135	0.134	0.142	0.135	0.145	0.135	0.128	0.126	0.022	0.015	0.024	0.015	0.007	0.006	0.079	0.072	0.082	0.073	0.065	0.063	0.036	0.029	0.039	0.029	0.021	0.02	0.018	0.011	0.021	0.012	0.004	0.002
CPI-SC07707E049	COL1A2_integrin_a10b1_complex	simple:P08123	complex:integrin_a10b1_complex	ENSG00000164692		True	False	False	curated	True	0.044	0.037	0.046	0.037	0.029	0.028	0.14	0.133	0.143	0.134	0.126	0.124	0.029	0.022	0.032	0.022	0.015	0.013	0.122	0.115	0.124	0.115	0.107	0.106	0.056	0.049	0.059	0.05	0.042	0.04	0.022	0.015	0.024	0.015	0.007	0.006
CPI-SC0096917A2	COL4A2_integrin_a10b1_complex	simple:P08572	complex:integrin_a10b1_complex	ENSG00000134871		True	False	False	curated	True	0.154	0.147	0.156	0.147	0.139	0.138	0.116	0.109	0.118	0.109	0.101	0.1	0.069	0.062	0.072	0.063	0.055	0.053	0.09	0.082	0.092	0.083	0.075	0.074	0.039	0.032	0.042	0.033	0.025	0.023	0.019	0.012	0.022	0.013	0.005	0.003
CPI-SC0B991F6B1	COL11A1_integrin_a10b1_complex	simple:P12107	complex:integrin_a10b1_complex	ENSG00000060718		True	False	False	curated	True	0.034	0.027	0.037	0.027	0.02	0.018	0.026	0.019	0.028	0.019	0.011	0.01	0.155	0.148	0.158	0.149	0.141	0.139	0.054	0.046	0.056	0.047	0.039	0.038	0.018	0.011	0.02	0.011	0.003	0.002	0.017	0.01	0.02	0.011	0.003	0.001
