gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	microglial_cell	neoplastic
ANTXR1	Q9H6X2	False	ANTR1_HUMAN		CPI-SS0331C5A49	0.038	0.0
PTN	P21246	False	PTN_HUMAN		CPI-SS0BFB29A42	0.101	0.0
SEMA4D	Q92854	False	SEM4D_HUMAN		CPI-SS08FAC0A55	0.19	0.0
SEMA4D	Q92854	False	SEM4D_HUMAN		CPI-SS059EC4FAE	0.19	0.0
SEMA4D	Q92854	False	SEM4D_HUMAN		CPI-SS06AA638A8	0.19	0.0
TNFRSF14	Q92956	False	TNR14_HUMAN		CPI-SS02ACCF1F7	0.176	0.0
TNFRSF10D	Q9UBN6	False	TR10D_HUMAN		CPI-SS095E52E66	0.041	0.0
TNFRSF10D	Q9UBN6	False	TR10D_HUMAN		CPI-SS059EEFDC6	0.041	0.0
AXL	P30530	False	UFO_HUMAN		CPI-SS0C85BC9AF	0.689	0.0
TLR8	Q9NR97	False	TLR8_HUMAN		CPI-SS016FD0C8A	0.042	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	0.939	0.0
ARF1	P84077	False	ARF1_HUMAN		CPI-SS06A999D25	0.831	0.0
MRC1	P22897	False	MRC1_HUMAN		CPI-SS0822AEF5F	0.034	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS044C72D0D	0.15	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS0DC4D593E	0.043	0.0
EFNB1	P98172	False	EFNB1_HUMAN		CPI-SS0111AAD26	0.043	0.0
P2RY6	Q15077	False	P2RY6_HUMAN		CPI-SS065F7DA2A	0.169	0.0
P2RY6	Q15077	False	P2RY6_HUMAN		CPI-SS09A3FA737	0.169	0.0
HEBP1	Q9NRV9	False	HEBP1_HUMAN		CPI-SS0D2539AEB	0.234	0.0
TNFRSF12A	Q9NP84	False	TNR12_HUMAN		CPI-SS02EF3E1BA	0.195	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	0.036	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS02371A6D6	0.073	0.0
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SS02B567BC7	0.032	0.0
ENTPD1	P49961	False	ENTP1_HUMAN		CPI-SS0FF6CFDCA	0.502	0.0
PLAUR	Q03405	False	UPAR_HUMAN		CPI-SS036B08188	0.959	0.0
PROCR	Q9UNN8	False	PROCR_HUMAN		CPI-SS0291D3D2E	0.157	0.0
CSF1	P09603	False	CSF1_HUMAN		CPI-SS0B01CF3AB	0.11	0.0
ADGRE5	P48960	False	CD97_HUMAN		CPI-SS061A7E099	0.136	0.0
SELPLG	Q14242	False	SELPL_HUMAN		CPI-SS087321EB5	0.4	0.0
PILRA	Q9UKJ1	False	PILRA_HUMAN		CPI-SS01560CA22	0.512	0.0
SIGLEC1	Q9BZZ2	False	SN_HUMAN		CPI-SS02A170A99	0.096	0.0
MERTK	Q12866	False	MERTK_HUMAN		CPI-SS076940BCD	0.371	0.0
RPS19	P39019	False	RS19_HUMAN		CPI-SS01946BE5C	3.485	0.0
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS03A4F7DC8	0.556	0.0
GAS6	Q14393	False	GAS6_HUMAN		CPI-SS0415CC75D	0.556	0.0
SIGLEC10	Q96LC7	False	SIG10_HUMAN		CPI-SS073C1B796	0.503	0.0
PPIA	P62937	False	PPIA_HUMAN		CPI-SS02DA892C8	1.916	0.0
BST2	Q10589	False	BST2_HUMAN		CPI-SS095DCA7F7	1.294	0.0
LILRB4	Q8NHJ6	False	LIRB4_HUMAN		CPI-SS067BA9202	1.288	0.0
